ADM3_EN,ADM3_PCODE,ADM2_PCODE,ADM1_PCODE,Totpop2021_count,Totpop2021_sum,LLG,ADM3_EN_2,District,Province
Afore Rural LLG,PG060103,PG0601,PG06,"71",20908.913951,Afore Rural,Afore Rural LLG,Ijivitari District,Northern (Oro)
Agarabi Rural LLG,PG110418,PG1104,PG11,"79",29529.666012,Agarabi Rural,Agarabi Rural LLG,Kainanatu District,Eastern Highlands
Ahi Rural LLG,PG120515,PG1205,PG12,"57",114071.999993,Ahi Rural,Ahi Rural LLG,Lae District,Morobe
Aiya Rural LLG,PG070332,PG0703,PG07,"143",49660.798172,Aiya Rural,Aiya Rural LLG,Kagua/Erave District,Southern Highlands
Albiges/Mablep Rural LLG,PG140310,PG1403,PG14,"41",20401.000000,Albiges/Mablep Rural,Albiges/Mablep Rural LLG,Maprik District,East Sepik
Almami Rural LLG,PG130101,PG1301,PG13,"90",47731.000001,Almami Rural,Almami Rural LLG,Bogia District,Madang
Alotau Urban LLG,PG050107,PG0501,PG05,"23",17109.000001,Alotau Urban,Alotau Urban LLG,Alotau District,Milne Bay Province
Amanab Rural LLG,PG150412,PG1504,PG15,"75",18766.000000,Amanab Rural,Amanab Rural LLG,Vanimo/Green River District,West Sepik (Sandaun)
Amazon Bay Rural LLG,PG030101,PG0301,PG03,"62",13464.000000,Amazon Bay Rural,Amazon Bay Rural LLG,Abau District,Central
Ambenob Rural LLG,PG130204,PG1302,PG13,"142",107456.999999,Ambenob Rural,Ambenob Rural LLG,Madang District,Madang
Ambum Rural LLG,PG080203,PG0802,PG08,"74",41894.396744,Ambum Rural,Ambum Rural LLG,Kompiam District,Enga
Ambunti Rural LLG,PG140101,PG1401,PG14,"75",27003.000000,Ambunti Rural,Ambunti Rural LLG,Ambunti/Drekikier District,East Sepik
Anglimp Rural LLG,PG220101,PG2201,PG22,"139",97008.999999,Anglimp Rural,Anglimp Rural LLG,Anglimp/South Waghi District,Jiwaka
Angoram/Middle Sepik LLG,PG140205,PG1402,PG14,"53",38867.000001,Angoram/Middle Sepik,Angoram/Middle Sepik LLG,Angoram District,East Sepik
Arabaka Rural LLG,PG130307,PG1303,PG13,"114",47239.000001,Arabaka Rural,Arabaka Rural LLG,Middle Ramu District,Madang
Arawa LLG,PG200208,PG2002,PG20,"189",160276.000003,Arawa,Arawa LLG,Central Bougainville District,Bougainville
Aroma Rural LLG,PG030102,PG0301,PG03,"50",29612.000002,Aroma Rural,Aroma Rural LLG,Abau District,Central
Astrolabe Bay Rural LLG,PG130410,PG1304,PG13,"58",39226.000000,Astrolabe Bay Rural,Astrolabe Bay Rural LLG,Rai Coast District,Madang
Attols LLG,PG200106,PG2001,PG20,"12",2828.000000,Attols,Attols LLG,North Bougainville District,Bougainville
Aua Wuvulu LLG,PG160101,PG1601,PG16,"7",1227.000000,Aua Wuvulu,Aua Wuvulu LLG,Manus District,Manus
Awi/Pori Rural LLG,PG210514,PG2105,PG21,"90",36814.000000,Awi/Pori Rural,Awi/Pori Rural LLG,Koroba/Kopiago District,Hela
Baimuru Rural LLG,PG020207,PG0202,PG02,"43",15727.000001,Baimuru Rural,Baimuru Rural LLG,Kikori District,Gulf Province
Baiyer Rural LLG,PG090509,PG0905,PG09,"63",70430.000000,Baiyer Rural,Baiyer Rural LLG,Mul/Baiyer District,Western Highlands
Balanataman Rural LLG,PG180415,PG1804,PG18,"22",36933.000001,Balanataman Rural,Balanataman Rural LLG,Rabaul District,East New Britain
Bali/Witu Rural LLG,PG190207,PG1902,PG19,"38",21414.000001,Bali/Witu Rural,Bali/Witu Rural LLG,Talasea District,West New Britain
Balimo Urban LLG,PG010101,PG0101,PG01,"6",10289.000001,Balimo Urban LLG,Balimo Urban LLG,Middle Fly District,Western
Balopa LLG,PG160111,PG1601,PG16,"15",3079.000000,Balopa,Balopa LLG,Manus District,Manus
Bamu Rural LLG,PG010102,PG0101,PG01,"54",20294.354266,Bamu Rural LLG,Bamu Rural LLG,Delta Fly District,Western
Bana LLG,PG200311,PG2003,PG20,"90",78808.000001,Bana,Bana LLG,South Bougainville District,Bougainville
Bewani/Wutung Onei Rural LLG,PG150413,PG1504,PG15,"62",36200.000000,Bewani/Wutung Onei Rural,Bewani/Wutung Onei Rural LLG,Vanimo/Green River District,West Sepik (Sandaun)
Bialla Rural LLG,PG190206,PG1902,PG19,"101",80504.000000,Bialla Rural,Bialla Rural LLG,Nakanai District,West New Britain
Bisikani/Soparibeu LLG,PG160103,PG1601,PG16,"16",7039.000000,Bisikani/Soparibeu,Bisikani/Soparibeu LLG,Manus District,Manus
Bitapaka Rural LLG,PG180206,PG1802,PG18,"49",33230.000000,Bitapaka Rural,Bitapaka Rural LLG,Kokopo District,East New Britain
Boikin/Dagua Rural LLG,PG140414,PG1404,PG14,"66",22349.000000,Boikin/Dagua Rural,Boikin/Dagua Rural LLG,Wewak District,East Sepik
Bomai/Gumai Rural LLG,PG100204,PG1002,PG10,"41",12373.000000,Bomai/Gumai Rural,Bomai/Gumai Rural LLG,Gumine District,Chimbu (Simbu)
Buang Rural LLG,PG120129,PG1201,PG12,"28",13210.000000,Buang Rural,Buang Rural LLG,Bulolo District,Morobe
Buin LLG,PG200309,PG2003,PG20,"111",93583.000000,Buin,Buin LLG,South Bougainville District,Bougainville
Buka LLG,PG200104,PG2001,PG20,"58",96375.000000,Buka,Buka LLG,North Bougainville District,Bougainville
Bumbita/Muhian Rural LLG,PG140311,PG1403,PG14,"40",24045.000000,Bumbita/Muhian Rural,Bumbita/Muhian Rural LLG,Maprik District,East Sepik
Bundi Rural LLG,PG130615,PG1306,PG13,"62",26524.000001,Bundi Rural,Bundi Rural LLG,Usino Bundi District,Madang
Burui/Kunai Rural LLG,PG140519,PG1405,PG14,"42",20197.000000,Burui/Kunai Rural,Burui/Kunai Rural LLG,Wosera Gawi District,East Sepik
Burum Kwat LLG,PG120206,PG1202,PG12,"54",12061.555981,Hube Rural,Burum Kwat LLG,Finschafen District,Morobe
Bwanabwana Rural LLG,PG050208,PG0502,PG05,"35",20658.000000,Bwanabwana Rural,Bwanabwana Rural LLG,Samarai-Murua District,Milne Bay Province
Central Gazelle Rural LLG,PG180101,PG1801,PG18,"31",45639.000002,Central Gazelle Rural,Central Gazelle Rural LLG,Gazelle District,East New Britain
Central Kerema Rural LLG,PG020101,PG0201,PG02,"47",26704.999999,Central Kerema Rural,Central Kerema Rural LLG,Kerema District,Gulf Province
Central/Inland Pomio LLG,PG180310,PG1803,PG18,"98",26014.000000,Central/Inland Pomio,Central/Inland Pomio LLG,Pomio District,East New Britain
Chuave Rural LLG,PG100101,PG1001,PG10,"50",24855.999999,Chuave Rural,Chuave Rural LLG,Chuave District,Chimbu (Simbu)
Cloudy Bay Rural LLG,PG030103,PG0301,PG03,"56",14466.000001,Cloudy Bay Rural,Cloudy Bay Rural LLG,Abau District,Central
Daga Rural LLG,PG050102,PG0501,PG05,"31",12132.000000,Daga Rural,Daga Rural LLG,Alotau District,Milne Bay Province
Daru Urban LLG,PG010311,PG0103,PG01,"32",19397.000001,Daru Urban LLG,Daru Urban LLG,South Fly District,Western
Dei Rural LLG,PG090203,PG0902,PG09,"118",53868.513948,Dei Rural,Dei Rural LLG,Dei District,Western Highlands
Deyamos Rural LLG,PG120412,PG1204,PG12,"64",17843.000000,Deyamos Rural,Deyamos Rural LLG,Kabwum District,Morobe
Dobu Rural LLG,PG050415,PG0504,PG05,"40",61274.000000,Dobu Rural,Dobu Rural LLG,Esa'ala District,Milne Bay Province
Dreikikier Rural LLG,PG140102,PG1401,PG14,"111",36668.000002,Dreikikier Rural,Dreikikier Rural LLG,Ambunti/Drekikier District,East Sepik
Duau Rural LLG,PG050416,PG0504,PG05,"30",34739.999998,Duau Rural,Duau Rural LLG,Esa'ala District,Milne Bay Province
Duke of York Rural LLG,PG180207,PG1802,PG18,"24",19947.999999,Duke of York Rural,Duke of York Rural LLG,Kokopo District,East New Britain
Dunantina Rural LLG,PG110315,PG1103,PG11,"198",39806.758538,Dunantina Rural,Dunantina Rural LLG,Henganofi District,Eastern Highlands
East Aitape Rural LLG,PG150101,PG1501,PG15,"78",54713.999999,East Aitape Rural,East Aitape Rural LLG,Aitape/Lumi District,West Sepik (Sandaun)
East Kerema Rural LLG,PG020102,PG0201,PG02,"33",19633.999999,East Kerema Rural,East Kerema Rural LLG,Kerema District,Gulf Province
East Kikori Rural LLG,PG020208,PG0202,PG02,"49",19129.000000,East Kikori Rural,East Kikori Rural LLG,Kikori District,Gulf Province
East Okapa Rural LLG,PG110710,PG1107,PG11,"113",29966.926300,East Okapa Rural,East Okapa Rural LLG,Okapa District,Eastern Highlands
