Shape_Area,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,Totpop2021_count,Totpop2021_sum,LLG,ADM3_EN_2,District,Province,x,y
1414866071.99242782593,Melkoi Rural LLG,PG180312,Pomio District,PG1803,East New Britain Province,PG18,"52",12739.000000,Melkoi Rural,Melkoi Rural LLG,Pomio District,East New Britain,150.8302179998,-5.8901327884
15155534.57968789339,Mendi Urban LLG,PG070620,Mendi/Munihu District,PG0706,Southern Highlands Province,PG07,"39",40918.000000,Mendi Urban,Mendi Urban LLG,Mendi/Munihu District,Southern Highlands,143.6580860842,-6.1411541154
156579897.92098671198,Mimanalo Rural LLG,PG110214,Goroka District,PG1102,Eastern Highlands Province,PG11,"157",70832.733428,Mimanalo Rural,Mimanalo Rural LLG,Goroka District,Eastern Highlands,145.3540276770,-6.0144246110
235483566.34879136086,Mitnande Rural LLG,PG100514,Kundiawa/Gembogl District,PG1005,Chimbu (Simbu) Province,PG10,"79",23537.000000,Mitnande Rural,Mitnande Rural LLG,Kundiawa/Gembogl District,Chimbu (Simbu),145.0821650455,-5.8662956454
23143791056.80420303345,Morehead Rural LLG,PG010313,South Fly District,PG0103,Western Province,PG01,"72",21617.000000,Morehead Rural LLG,Morehead Rural LLG,South Fly District,Western,141.6996663356,-8.5218147960
1694671521.80839347839,Morobe Rural LLG,PG120309,Huon District,PG1203,Morobe Province,PG12,"40",26858.000000,Morobe Rural,Morobe Rural LLG,Huon District,Morobe,147.4551216265,-7.7380927289
1740531030.55021309853,Mosa Rural LLG,PG190210,Talasea District,PG1902,West New Britain Province,PG19,"33",58233.999998,Mosa Rural,Mosa Rural LLG,Nakanai District,West New Britain,150.3474473544,-5.7680985543
3941742356.66855669022,Mt Bosavi Rural LLG,PG070723,Nipa/Kutubu District,PG0707,Southern Highlands Province,PG07,"54",6162.000000,Mt Bosavi Rural,Mt Bosavi Rural LLG,Nipa/Kutubu District,Southern Highlands,142.9334063978,-6.5777623601
68971302.81129088998,Mt Digine Rural LLG,PG100206,Gumine District,PG1002,Chimbu (Simbu) Province,PG10,"43",23117.000001,Mt Digine Rural,Mt Digine Rural LLG,Gumine District,Chimbu (Simbu),144.9167204853,-6.0737242092
791964169.90289640427,Mt Giluwe Rural LLG,PG090712,Tambul/Nebilyer District,PG0907,Western Highlands Province,PG09,"134",53556.000000,Mt Giluwe Rural,Mt Giluwe Rural LLG,Tambul/Nebilyer District,Western Highlands,143.9751186563,-5.8967672136
301904292.12447774410,Mt Hagen Rural LLG,PG090304,Mt Hagen District,PG0903,Western Highlands Province,PG09,"298",134202.000002,Mt Hagen Rural,Mt Hagen Rural LLG,Mt Hagen District,Western Highlands,144.2384572296,-5.8382358683
9723569.05537961796,Mt Hagen Urban LLG,PG090305,Mt Hagen District,PG0903,Western Highlands Province,PG09,"70",47063.999998,Mt Hagen Urban,Mt Hagen Urban LLG,Mt Hagen District,Western Highlands,144.2315718212,-5.8550511641
498309086.75922113657,Mt. Michael Rural LLG,PG110520,Lufa District,PG1105,Eastern Highlands Province,PG11,"86",21660.225559,Mt. Michael Rural,Mt. Michael Rural LLG,Lufa District,Eastern Highlands,145.3021455422,-6.4065125489
296977495.79099917412,Mul Rural LLG,PG090508,Mul/Baiyer District,PG0905,Western Highlands Province,PG09,"78",54596.999999,Mul Rural,Mul Rural LLG,Mul/Baiyer District,Western Highlands,144.1589202985,-5.7267067495
1311770997.39730429649,Mumeng Rural LLG,PG120101,Bulolo District,PG1201,Morobe Province,PG12,"54",32964.000001,Mumeng Rural,Mumeng Rural LLG,Bulolo District,Morobe,146.5554224991,-6.9349719063
390330670.28876245022,Murat Rural LLG,PG170101,Kavieng District,PG1701,New Ireland Province,PG17,"37",4368.000000,Murat Rural,Murat Rural LLG,Kavieng District,New Ireland,149.6489419948,-1.4561918466
939060253.64387655258,Murua Rural LLG,PG050211,Samarai-Murua District,PG0502,Milne Bay Province,PG05,"26",45878.999999,Murua Rural,Murua Rural LLG,Samarai-Murua District,Milne Bay Province,152.7285526152,-9.1118471436
748742176.22704279423,Nabak Rural LLG,PG120824,Nawae District,PG1208,Morobe Province,PG12,"39",21652.999999,Nabak Rural,Nabak Rural LLG,Nawae District,Morobe,146.9913861705,-6.4553364363
1170238697.26352691650,Naho Rawa Rural LLG,PG130411,Rai Coast District,PG1304,Madang Province,PG13,"41",17082.000001,Naho Rawa Rural,Naho Rawa Rural LLG,Rai Coast District,Madang,146.0585397387,-5.8853672039
162700527.92464298010,Nali Sopat/Penabu LLG,PG160108,Manus District,PG1601,Manus Province,PG16,"18",6350.000000,Nali Sopat/Penabu,Nali Sopat/Penabu LLG,Manus District,Manus,147.1823178378,-2.1384636785
1252303346.84789752960,Namatanai Rural LLG,PG170205,Namatanai District,PG1702,New Ireland Province,PG17,"85",34241.702561,Namatanai Rural,Namatanai Rural LLG,Namatanai District,New Ireland,152.6118505964,-3.8555224852
2337484763.53094196320,Namea Rural LLG,PG150308,Telefomin District,PG1503,West Sepik (Sandaun) Province,PG15,"32",20330.000001,Namea Rural,Namea Rural LLG,Telefomin District,West Sepik (Sandaun),141.9866401270,-3.8820456368
536070159.39678835869,Nanima Kariba LLG,PG120734,Menyamya District,PG1207,Morobe Province,PG12,"45",35017.135407,Nanima Kariba,Nanima Kariba LLG,Menyamya District,Morobe,146.1621023677,-7.4083228435
266472478.01211133599,National Capital District,PG040101,National Capital District,PG0401,National Capital District,PG04,"485",513917.999999,National Capital District,National Capital District,National Capital District,National Capital District,147.1990319393,-9.4369052504
657534126.92467176914,Nayudo Rural LLG,PG130418,Rai Coast District,PG1304,Madang Province,PG13,"29",19097.400601,Nayudo Rural,Nayudo Rural LLG,Rai Coast District,Madang,146.5174102207,-5.8872680521
1000355108.81621944904,Nebilyer Rural LLG,PG090713,Tambul/Nebilyer District,PG0907,Western Highlands Province,PG09,"69",51196.999999,Nebilyer Rural,Nebilyer Rural LLG,Tambul/Nebilyer District,Western Highlands,144.2897799032,-6.0638684605
139742130.75224381685,Nembi Plateau Rural LLG,PG070724,Nipa/Kutubu District,PG0707,Southern Highlands Province,PG07,"21",95221.000000,Nembi Plateau Rural,Nembi Plateau Rural LLG,Nipa/Kutubu District,Southern Highlands,143.4827306667,-6.2730963397
94025302.15222908556,Niglkande Rural LLG,PG100515,Kundiawa/Gembogl District,PG1005,Chimbu (Simbu) Province,PG10,"58",26319.000000,Niglkande Rural,Niglkande Rural LLG,Kundiawa/Gembogl District,Chimbu (Simbu),145.0519092115,-5.9505069849
32795747.46553179994,Nigoherm LLG,PG160102,Manus District,PG1601,Manus Province,PG16,"9",5379.000000,Nigoherm,Nigoherm LLG,Manus District,Manus,144.5982808906,-1.3222020772
218816132.66251781583,Nimamar Rural LLG,PG170209,Namatanai District,PG1702,New Ireland Province,PG17,"50",30688.000000,Nimamar Rural,Nimamar Rural LLG,Namatanai District,New Ireland,152.6017247851,-3.1016565977
2355322804.55557203293,Ningerum Rural LLG,PG010208,North Fly District,PG0102,Western Province,PG01,"85",26058.000001,Ningerum Rural LLG,Ningerum Rural LLG,North Fly District,Western,141.2041308377,-5.6306007065
486934072.41254729033,Nipa Rural LLG,PG070725,Nipa/Kutubu District,PG0707,Southern Highlands Province,PG07,"243",117302.000001,Nipa Rural,Nipa Rural LLG,Nipa/Kutubu District,Southern Highlands,143.3408381996,-6.1961377561
37144509.75204332173,Nissan LLG,PG200105,North Bougainville District,PG2001,Autonomous Region of Bougainville,PG20,"30",8426.000000,Nissan,Nissan LLG,North Bougainville District,Bougainville,154.1956465738,-4.4892632650
21352376482.75238418579,Nomad Rural LLG,PG010105,Middle Fly District,PG0101,Western Province,PG01,"82",23076.000000,Nomad Rural LLG,Nomad Rural LLG,Middle Fly District,Western,142.1834563528,-6.8884993214
269850490.14360445738,Nomane Rural LLG,PG100308,Karimui/Nomane District,PG1003,Chimbu (Simbu) Province,PG10,"46",9443.000000,Nomane Rural,Nomane Rural LLG,Karimui/Nomane District,Chimbu (Simbu),145.0720676870,-6.3619900682
153386826.60279640555,Nondugl Rural LLG,PG220615,North Waghi District,PG2206,Jiwaka Province,PG22,"101",48865.940697,Nondugl Rural,Nondugl Rural LLG,North Waghi District,Jiwaka,144.7656616398,-5.8496934114
1850757341.70439219475,North Koroba Rural LLG,PG210516,Koroba/Kopiago District,PG2105,Hela Province,PG21,"85",40224.000000,North Koroba Rural,North Koroba Rural LLG,Koroba/Kopiago District,Hela,142.4686586206,-5.6520041428
316938345.89208662510,North Waghi Rural LLG,PG220611,North Waghi District,PG2206,Jiwaka Province,PG22,"171",89238.059302,North Waghi Rural,North Waghi Rural LLG,North Waghi District,Jiwaka,144.6235743117,-5.7667768710
438957161.38925743103,North Wosera Rural LLG,PG140521,Wosera Gawi District,PG1405,East Sepik Province,PG14,"37",27276.999999,North Wosera Rural,North Wosera Rural LLG,Wosera Gawi District,East Sepik,142.8237453762,-3.8428978923
254420464.93161499500,Numbor Rural LLG,PG140624,Yangoru Saussia District,PG1406,East Sepik Province,PG14,"48",17112.000000,Numbor Rural,Numbor Rural LLG,Yangoru Saussia District,East Sepik,143.4683906367,-3.6791319412
3496738691.66532087326,Oksapmin Rural LLG,PG150309,Telefomin District,PG1503,West Sepik (Sandaun) Province,PG15,"25",31631.000000,Oksapmin Rural,Oksapmin Rural LLG,Telefomin District,West Sepik (Sandaun),142.1197576338,-4.9966036912
3639061946.39825534821,Olsobip Rural LLG,PG010209,North Fly District,PG0102,Western Province,PG01,"34",6720.000000,Olsobip Rural LLG,Olsobip Rural LLG,North Fly District,Western,141.7517521792,-5.4647649485
1709323618.80472660065,Onga/Waffa Rural LLG,PG120617,Markham District,PG1206,Morobe Province,PG12,"41",15970.999999,Onga/Waffa Rural,Onga/Waffa Rural LLG,Markham District,Morobe,146.1788985710,-6.6195255319
6284671630.21016597748,Oriomo-Bituri Rural LLG,PG010314,South Fly District,PG0103,Western Province,PG01,"66",15888.000000,Oriomo-Bituri Rural LLG,Oriomo-Bituri Rural LLG,South Fly District,Western,142.8580911158,-8.8562048612
1602044753.49001884460,Oro Bay Rural LLG,PG060101,Ijivitari District,PG0601,Northern (Oro) Province,PG06,"128",41507.000001,Oro Bay Rural,Oro Bay Rural LLG,Popondentta District,Northern (Oro),148.3254841645,-8.6927470990
1945259686.89920926094,Paiela/Hewa Rural LLG,PG080308,Lagaip/Pogera District,PG0803,Enga Province,PG08,"26",13699.000000,Paiela/Hewa Rural,Paiela/Hewa Rural LLG,Pogera-Paiela District,Enga,142.8915344876,-5.3487372735
1010823020.34004938602,Palmai Rural LLG,PG150206,Nuku District,PG1502,West Sepik (Sandaun) Province,PG15,"53",23184.000000,Palmai Rural,Palmai Rural LLG,Nuku District,West Sepik (Sandaun),142.4459839198,-3.5283938791
575060712.28101348877,Pilikambi Rural LLG,PG080315,Lagaip/Pogera District,PG0803,Enga Province,PG08,"49",31417.668383,Pilikambi Rural,Pilikambi Rural LLG,Laigap District,Enga,143.5971372572,-5.6275338424
558853948.05850350857,Pobuma LLG,PG160110,Manus District,PG1601,Manus Province,PG16,"19",8102.000000,Pobuma,Pobuma LLG,Manus District,Manus,146.8134465077,-2.1416092417
459558982.27166062593,Pomutu/Kurti/Andra LLG,PG160104,Manus District,PG1601,Manus Province,PG16,"19",8205.000000,Pomutu/Kurti/Andra,Pomutu/Kurti/Andra LLG,Manus District,Manus,146.9101138595,-2.0195065964
443849372.19364595413,Popondetta Urban LLG,PG060104,Ijivitari District,PG0601,Northern (Oro) Province,PG06,"92",42363.000000,Popondetta Urban,Popondetta Urban LLG,Popondentta District,Northern (Oro),148.2559315719,-8.8187346986
536995887.86304605007,Porgera Rural LLG,PG080309,Lagaip/Pogera District,PG0803,Enga Province,PG08,"42",81121.000000,Porgera Rural,Porgera Rural LLG,Pogera-Paiela District,Enga,143.1240390639,-5.4118454337
309045124.55660372972,Poroma Rural LLG,PG070726,Nipa/Kutubu District,PG0707,Southern Highlands Province,PG07,"246",94347.999999,Poroma Rural,Poroma Rural LLG,Nipa/Kutubu District,Southern Highlands,143.5906818149,-6.3371403086
11813227.65487883799,Rabaul Urban LLG,PG180417,Rabaul District,PG1804,East New Britain Province,PG18,"31",4960.000000,Rabaul Urban,Rabaul Urban LLG,Rabaul District,East New Britain,152.1798687434,-4.2029964800
2177762583.21627187729,Rai Coast Rural LLG,PG130412,Rai Coast District,PG1304,Madang Province,PG13,"157",40048.599399,Rai Coast Rural,Rai Coast Rural LLG,Rai Coast District,Madang,146.4449212017,-5.6373492760
40271683.69912494719,Raluana Rural LLG,PG180209,Kokopo District,PG1802,East New Britain Province,PG18,"21",23654.999998,Raluana Rural,Raluana Rural LLG,Kokopo District,East New Britain,152.1914743417,-4.3240924093
131291547.02313095331,Rapatona LLG,PG160112,Manus District,PG1601,Manus Province,PG16,"18",4086.000000,Rapatona,Rapatona LLG,Manus District,Manus,147.7927252681,-2.2516891090
1252153266.99419903755,Rigo Central Rural LLG,PG030411,Rigo District,PG0304,Central Province,PG03,"62",22402.000000,Rigo Central Rural,Rigo Central Rural LLG,Rigo District,Central,147.6422752096,-9.6945082176
518628504.35582691431,Rigo Coastal Rural LLG,PG030412,Rigo District,PG0304,Central Province,PG03,"30",26178.000000,Rigo Coastal Rural,Rigo Coastal Rural LLG,Rigo District,Central,147.6804688366,-9.9411573162
3243682441.58775568008,Rigo Inland Rural LLG,PG030413,Rigo District,PG0304,Central Province,PG03,"138",24142.000000,Rigo Inland Rural,Rigo Inland Rural LLG,Rigo District,Central,147.9387509010,-9.6655734353
5519079875.05069351196,Safia Rural LLG,PG060109,Ijivitari District,PG0601,Northern (Oro) Province,PG06,"56",9812.086050,Safia Rural,Safia Rural LLG,Ijivitari District,Northern (Oro),148.6662877994,-9.5374673526
1254328489.88664007187,Salamaua Rural LLG,PG120310,Huon District,PG1203,Morobe Province,PG12,"55",17756.000000,Salamaua Rural,Salamaua Rural LLG,Huon District,Morobe,146.9771504263,-7.1858245802
209860824.10063171387,Salt Rural LLG,PG100309,Karimui/Nomane District,PG1003,Chimbu (Simbu) Province,PG10,"56",19570.000000,Salt Rural,Salt Rural LLG,Karimui/Nomane District,Chimbu (Simbu),144.9786285420,-6.2770466151
1338078296.27925634384,Sausso Rural LLG,PG140625,Yangoru Saussia District,PG1406,East Sepik Province,PG14,"41",15734.000000,Sausso Rural,Sausso Rural LLG,Yangoru Saussia District,East Sepik,143.5856924927,-3.8740541734
442990112.64468920231,Selau/Suir LLG,PG200103,North Bougainville District,PG2001,Autonomous Region of Bougainville,PG20,"42",30930.999998,Selau/Suir,Selau/Suir LLG,North Bougainville District,Bougainville,154.8339087174,-5.5742592985
306399077.00226426125,Selepet Rural LLG,PG120435,Kabwum District,PG1204,Morobe Province,PG12,"27",15910.000000,Selepet Rural,Selepet Rural LLG,Kabwum District,Morobe,147.1565762646,-6.2394773833
1817723268.28541374207,Sentral Niu Ailan Rural LLG,PG170206,Namatanai District,PG1702,New Ireland Province,PG17,"109",37894.999999,Sentral Niu Ailan Rural,Sentral Niu Ailan Rural LLG,Namatanai District,New Ireland,151.8852068632,-3.2049924080
876446509.97537016869,Sialum Rural LLG,PG120926,Tawae/Siassi District,PG1209,Morobe Province,PG12,"63",24595.000000,Sialum Rural,Sialum Rural LLG,Tawae/Siassi District,Morobe,147.5619651923,-6.1719096355
202563136.04456457496,Siane Rural LLG,PG100103,Chuave District,PG1001,Chimbu (Simbu) Province,PG10,"92",19564.096244,Siane Rural,Siane Rural LLG,Chuave District,Chimbu (Simbu),145.2131286193,-6.2142969211
965557882.75661909580,Siassi Rural LLG,PG120927,Tawae/Siassi District,PG1209,Morobe Province,PG12,"44",10722.000000,Siassi Rural,Siassi Rural LLG,Tawae/Siassi District,Morobe,147.9139230609,-5.6116580335
584535367.60972511768,Simbai Rural LLG,PG130309,Middle Ramu District,PG1303,Madang Province,PG13,"27",32447.999999,Simbai Rural,Simbai Rural LLG,Middle Ramu District,Madang,144.5822096216,-5.2212181978
2436652289.84455251694,Sinivit Rural LLG,PG180313,Pomio District,PG1803,East New Britain Province,PG18,"62",26661.999999,Sinivit Rural,Sinivit Rural LLG,Pomio District,East New Britain,152.1267687040,-4.7347004747
731446634.66072106361,Siwai LLG,PG200310,South Bougainville District,PG2003,Autonomous Region of Bougainville,PG20,"93",34249.000000,Siwai,Siwai LLG,South Bougainville District,Bougainville,155.4557285087,-6.6444717895
253865220.08225747943,South Koroba Rural LLG,PG210517,Koroba/Kopiago District,PG2105,Hela Province,PG21,"73",86423.000002,South Koroba Rural,South Koroba Rural LLG,Koroba/Kopiago District,Hela,142.7819334268,-5.8105049698
1706817226.79018759727,South Waghi Rural LLG,PG220102,Anglimp/South Waghi District,PG2201,Jiwaka Province,PG22,"308",149869.000001,South Waghi Rural,South Waghi Rural LLG,Anglimp/South Waghi District,Jiwaka,144.5926617851,-6.0832165040
459772523.97513169050,South Wosera Rural LLG,PG140522,Wosera Gawi District,PG1405,East Sepik Province,PG14,"60",34606.000000,South Wosera Rural,South Wosera Rural LLG,Wosera Gawi District,East Sepik,143.0087960106,-3.8378648918
1581789074.58970975876,Star Mountains Rural LLG,PG010210,North Fly District,PG0102,Western Province,PG01,"32",25153.999999,Star Mountains Rural LLG,Star Mountains Rural LLG,North Fly District,Western,141.1903239522,-5.2163108962
155168414.97650361061,Suai Rural LLG,PG100618,Sina Sina Yonggomugl District,PG1006,Chimbu (Simbu) Province,PG10,"77",24944.000001,Suai Rural,Suai Rural LLG,Sina Sina Yonggomugl District,Chimbu (Simbu),144.9916972778,-6.1325809028
1828784279.40840101242,Suau Rural LLG,PG050106,Alotau District,PG0501,Milne Bay Province,PG05,"36",27304.000001,Suau Rural,Suau Rural LLG,Alotau District,Milne Bay Province,150.0621559558,-10.4629998482
1501533273.91941094398,Sumgilbar Rural LLG,PG130514,Sumkar District,PG1305,Madang Province,PG13,"124",54914.000000,Sumgilbar Rural,Sumgilbar Rural LLG,Sumkar District,Madang,145.5518035578,-4.7853053390
80862237.51991972327,Tabare Rural LLG,PG100617,Sina Sina Yonggomugl District,PG1006,Chimbu (Simbu) Province,PG10,"65",24732.000000,Tabare Rural,Tabare Rural LLG,Sina Sina Yonggomugl District,Chimbu (Simbu),145.0519804984,-6.0878634314
534954983.85841715336,Tagali Rural LLG,PG210828,Tari/Pori District,PG2108,Hela Province,PG21,"24",46767.999999,Tagali Rural,Tagali Rural LLG,Tari/Pori District,Hela,142.9507530807,-5.7253842667
2174546891.38929796219,Talasea Rural LLG,PG190211,Talasea District,PG1902,West New Britain Province,PG19,"50",33817.000001,Talasea Rural,Talasea Rural LLG,Talasea District,West New Britain,149.9924972200,-5.5482675076
4355279397.03618907928,Tamata Rural LLG,PG060207,Sohe District,PG0602,Northern (Oro) Province,PG06,"92",24884.000000,Tamata Rural,Tamata Rural LLG,Sohe District,Northern (Oro),147.8083331362,-8.3320196060
174549849.97054705024,Tanir Rural LLG,PG170208,Namatanai District,PG1702,New Ireland Province,PG17,"38",15271.000000,Tanir Rural,Tanir Rural LLG,Namatanai District,New Ireland,153.4899560442,-3.8270228056
1494920692.76306843758,Tapini Rural LLG,PG030205,Goilala District,PG0302,Central Province,PG03,"69",19087.000000,Tapini Rural,Tapini Rural LLG,Goilala District,Central,147.0490215417,-8.2929884098
22272710.32751482725,Tari Urban LLG,PG210829,Tari/Pori District,PG2108,Hela Province,PG21,"16",94822.999998,Tari Urban,Tari Urban LLG,Tari/Pori District,Hela,142.9412231242,-5.8512763124
268073581.18042638898,Tebi Rural LLG,PG210830,Tari/Pori District,PG2108,Hela Province,PG21,"18",58303.999999,Tebi Rural,Tebi Rural LLG,Tari/Pori District,Hela,143.0688658432,-5.8388771779
3833684836.80500602722,Telefomin Rural LLG,PG150310,Telefomin District,PG1503,West Sepik (Sandaun) Province,PG15,"70",18436.000000,Telefomin Rural,Telefomin Rural LLG,Telefomin District,West Sepik (Sandaun),141.6881494493,-4.9015341936
171801849.43414315581,Tetidu LLG,PG160109,Manus District,PG1601,Manus Province,PG16,"13",3979.000000,Tetidu,Tetidu LLG,Manus District,Manus,147.0564681372,-2.1226783482
1311256671.38931655884,Tikana Rural LLG,PG170103,Kavieng District,PG1701,New Ireland Province,PG17,"92",38546.000001,Tikana Rural,Tikana Rural LLG,Kavieng District,New Ireland,151.0796231657,-2.8427241900
630652731.66602683067,Tinputz LLG,PG200101,North Bougainville District,PG2001,Autonomous Region of Bougainville,PG20,"56",32581.000000,Tinputz,Tinputz LLG,North Bougainville District,Bougainville,154.9987372932,-5.6945495565
970335494.71773600578,Torokina LLG,PG200312,South Bougainville District,PG2003,Autonomous Region of Bougainville,PG20,"51",10253.000000,Torokina,Torokina LLG,South Bougainville District,Bougainville,155.1867877354,-6.3069021377
1845023577.36856675148,Transgogol Rural LLG,PG130206,Madang District,PG1302,Madang Province,PG13,"85",30217.000000,Transgogol Rural,Transgogol Rural LLG,Madang District,Madang,145.4470545559,-5.1428621946
